秦 嬴政 汉 刘邦
宋神宗 赵顼 明毅宗 朱由检
宋神宗 赵顼 清太祖 努尔哈赤
宋神宗 赵顼 清太宗 皇太极
宋神宗 赵顼 清世祖 福临
宋神宗 赵顼 清圣祖 玄烨
宋神宗 赵顼 清世宗 胤禛
宋神宗 赵顼 清高宗 弘历
宋神宗 赵顼 清仁宗 颙琰
宋神宗 赵顼 清宣宗 旻宁
宋神宗 赵顼 清文宗 奕詝
宋神宗 赵顼 清穆宗 载淳
宋神宗 赵顼 清德宗 载湉
宋哲宗 赵煦 宋徽宗 赵佶
宋哲宗 赵煦 宋钦宗 赵桓
宋哲宗 赵煦 宋高宗 赵构
宋哲宗 赵煦 宋孝宗 赵伯宗
宋哲宗 赵煦 宋光宗 赵敦
宋哲宗 赵煦 宋宁宗 赵扩
宋哲宗 赵煦 宋理宗 赵昀
宋哲宗 赵煦 宋度宗 赵祺
宋哲宗 赵煦 宋恭帝 赵显
宋哲宗 赵煦 宋端宗 赵昰
宋哲宗 赵煦 宋卫王 赵昺
宋哲宗 赵煦 明太祖 朱元璋
宋哲宗 赵煦 明惠宗 朱允炆
宋哲宗 赵煦 明成祖 朱棣
宋哲宗 赵煦 明仁宗 朱高炽
宋哲宗 赵煦 明宣宗 朱瞻基
宋哲宗 赵煦 明英宗 朱祁镇
宋哲宗 赵煦 明代宗 朱祁钰
宋哲宗 赵煦 明宪宗 朱见深
宋哲宗 赵煦 明孝宗 朱佑樘
宋哲宗 赵煦 明武宗 朱厚照
宋哲宗 赵煦 明世宗 朱厚熜
宋哲宗 赵煦 明穆宗 朱载垕
宋哲宗 赵煦 明神宗 朱翊钧
宋哲宗 赵煦 明光宗 朱常洛
宋哲宗 赵煦 明熹宗 朱由校
宋哲宗 赵煦 明毅宗 朱由检
宋哲宗 赵煦 清太祖 努尔哈赤
宋哲宗 赵煦 清太宗 皇太极
宋哲宗 赵煦 清世祖 福临
宋哲宗 赵煦 清圣祖 玄烨
宋哲宗 赵煦 清世宗 胤禛
宋哲宗 赵煦 清高宗 弘历
宋哲宗 赵煦 清仁宗 颙琰
宋哲宗 赵煦 清宣宗 旻宁
宋哲宗 赵煦 清文宗 奕詝
宋哲宗 赵煦 清穆宗 载淳
宋哲宗 赵煦 清德宗 载湉
宋徽宗 赵佶 宋钦宗 赵桓
宋徽宗 赵佶 宋高宗 赵构
宋徽宗 赵佶 宋孝宗 赵伯宗
宋徽宗 赵佶 宋光宗 赵敦
宋徽宗 赵佶 宋宁宗 赵扩
宋徽宗 赵佶 宋理宗 赵昀
宋徽宗 赵佶 宋度宗 赵祺
宋徽宗 赵佶 宋恭帝 赵显
宋徽宗 赵佶 宋端宗 赵昰
宋徽宗 赵佶 宋卫王 赵昺
宋徽宗 赵佶 明太祖 朱元璋
宋徽宗 赵佶 明惠宗 朱允炆
宋徽宗 赵佶 明成祖 朱棣
宋徽宗 赵佶 明仁宗 朱高炽
宋徽宗 赵佶 明宣宗 朱瞻基
宋徽宗 赵佶 明英宗 朱祁镇
宋徽宗 赵佶 明代宗 朱祁钰
宋徽宗 赵佶 明宪宗 朱见深
宋徽宗 赵佶 明孝宗 朱佑樘
宋徽宗 赵佶 明武宗 朱厚照
宋徽宗 赵佶 明世宗 朱厚熜
宋徽宗 赵佶 明穆宗 朱载垕
宋徽宗 赵佶 明神宗 朱翊钧
宋徽宗 赵佶 明光宗 朱常洛
宋徽宗 赵佶 明熹宗 朱由校
宋徽宗 赵佶 明毅宗 朱由检
宋徽宗 赵佶 清太祖 努尔哈赤
宋徽宗 赵佶 清太宗 皇太极
宋徽宗 赵佶 清世祖 福临
宋徽宗 赵佶 清圣祖 玄烨
宋徽宗 赵佶 清世宗 胤禛
宋徽宗 赵佶 清高宗 弘历
宋徽宗 赵佶 清仁宗 颙琰
宋徽宗 赵佶 清宣宗 旻宁
宋徽宗 赵佶 清文宗 奕詝
宋徽宗 赵佶 清穆宗 载淳
宋徽宗 赵佶 清德宗 载湉
宋钦宗 赵桓 宋高宗 赵构
宋钦宗 赵桓 宋孝宗 赵伯宗
宋钦宗 赵桓 宋光宗 赵敦
宋钦宗 赵桓 宋宁宗 赵扩
宋钦宗 赵桓 宋理宗 赵昀
宋钦宗 赵桓 宋度宗 赵祺
宋钦宗 赵桓 宋恭帝 赵显
宋钦宗 赵桓 宋端宗 赵昰
宋钦宗 赵桓 宋卫王 赵昺
宋钦宗 赵桓 明太祖 朱元璋
宋钦宗 赵桓 明惠宗 朱允炆
宋钦宗 赵桓 明成祖 朱棣
宋钦宗 赵桓 明仁宗 朱高炽
宋钦宗 赵桓 明宣宗 朱瞻基
宋钦宗 赵桓 明英宗 朱祁镇
宋钦宗 赵桓 明代宗 朱祁钰
宋钦宗 赵桓 明宪宗 朱见深
宋钦宗 赵桓 明孝宗 朱佑樘
宋钦宗 赵桓 明武宗 朱厚照
宋钦宗 赵桓 明世宗 朱厚熜
宋钦宗 赵桓 明穆宗 朱载垕
宋钦宗 赵桓 明神宗 朱翊钧
宋钦宗 赵桓 明光宗 朱常洛
宋钦宗 赵桓 明熹宗 朱由校
宋钦宗 赵桓 明毅宗 朱由检
宋钦宗 赵桓 清太祖 努尔哈赤
宋钦宗 赵桓 清太宗 皇太极
宋钦宗 赵桓 清世祖 福临
宋钦宗 赵桓 清圣祖 玄烨
宋钦宗 赵桓 清世宗 胤禛
宋钦宗 赵桓 清高宗 弘历
宋钦宗 赵桓 清仁宗 颙琰
宋钦宗 赵桓 清宣宗 旻宁
宋钦宗 赵桓 清文宗 奕詝
宋钦宗 赵桓 清穆宗 载淳
宋钦宗 赵桓 清德宗 载湉
宋高宗 赵构 宋孝宗 赵伯宗
宋高宗 赵构 宋光宗 赵敦
宋高宗 赵构 宋宁宗 赵扩
宋高宗 赵构 宋理宗 赵昀
宋高宗 赵构 宋度宗 赵祺
宋高宗 赵构 宋恭帝 赵显
宋高宗 赵构 宋端宗 赵昰
宋高宗 赵构 宋卫王 赵昺
宋高宗 赵构 明太祖 朱元璋
宋高宗 赵构 明惠宗 朱允炆
宋高宗 赵构 明成祖 朱棣
宋高宗 赵构 明仁宗 朱高炽
宋高宗 赵构 明宣宗 朱瞻基
宋高宗 赵构 明英宗 朱祁镇
宋高宗 赵构 明代宗 朱祁钰
宋高宗 赵构 明宪宗 朱见深
宋高宗 赵构 明孝宗 朱佑樘
宋高宗 赵构 明武宗 朱厚照
宋高宗 赵构 明世宗 朱厚熜
宋高宗 赵构 明穆宗 朱载垕
宋高宗 赵构 明神宗 朱翊钧
宋高宗 赵构 明光宗 朱常洛
宋高宗 赵构 明熹宗 朱由校
宋高宗 赵构 明毅宗 朱由检
宋高宗 赵构 清太祖 努尔哈赤
宋高宗 赵构 清太宗 皇太极
宋高宗 赵构 清世祖 福临
宋高宗 赵构 清圣祖 玄烨
宋高宗 赵构 清世宗 胤禛
宋高宗 赵构 清高宗 弘历
宋高宗 赵构 清仁宗 颙琰
宋高宗 赵构 清宣宗 旻宁
宋高宗 赵构 清文宗 奕詝
宋高宗 赵构 清穆宗 载淳
宋高宗 赵构 清德宗 载湉
宋孝宗 赵伯宗 宋光宗 赵敦
宋孝宗 赵伯宗 宋宁宗 赵扩
宋孝宗 赵伯宗 宋理宗 赵昀
宋孝宗 赵伯宗 宋度宗 赵祺
宋孝宗 赵伯宗 宋恭帝 赵显
宋孝宗 赵伯宗 宋端宗 赵昰
宋孝宗 赵伯宗 宋卫王 赵昺
宋孝宗 赵伯宗 明太祖 朱元璋
宋孝宗 赵伯宗 明惠宗 朱允炆
宋孝宗 赵伯宗 明成祖 朱棣
宋孝宗 赵伯宗 明仁宗 朱高炽
宋孝宗 赵伯宗 明宣宗 朱瞻基
宋孝宗 赵伯宗 明英宗 朱祁镇
宋孝宗 赵伯宗 明代宗 朱祁钰
宋孝宗 赵伯宗 明宪宗 朱见深
宋孝宗 赵伯宗 明孝宗 朱佑樘
宋孝宗 赵伯宗 明武宗 朱厚照
宋孝宗 赵伯宗 明世宗 朱厚熜
宋孝宗 赵伯宗 明穆宗 朱载垕
宋孝宗 赵伯宗 明神宗 朱翊钧
宋孝宗 赵伯宗 明光宗 朱常洛
宋孝宗 赵伯宗 明熹宗 朱由校
宋孝宗 赵伯宗 明毅宗 朱由检
宋孝宗 赵伯宗 清太祖 努尔哈赤
宋孝宗 赵伯宗 清太宗 皇太极
宋孝宗 赵伯宗 清世祖 福临
宋孝宗 赵伯宗 清圣祖 玄烨
宋孝宗 赵伯宗 清世宗 胤禛
宋孝宗 赵伯宗 清高宗 弘历
宋孝宗 赵伯宗 清仁宗 颙琰
宋孝宗 赵伯宗 清宣宗 旻宁
宋孝宗 赵伯宗 清文宗 奕詝
宋孝宗 赵伯宗 清穆宗 载淳
宋孝宗 赵伯宗 清德宗 载湉
宋光宗 赵敦 宋宁宗 赵扩
宋光宗 赵敦 宋理宗 赵昀
宋光宗 赵敦 宋度宗 赵祺
宋光宗 赵敦 宋恭帝 赵显
宋光宗 赵敦 宋端宗 赵昰
宋光宗 赵敦 宋卫王 赵昺
宋光宗 赵敦 明太祖 朱元璋
宋光宗 赵敦 明惠宗 朱允炆
宋光宗 赵敦 明成祖 朱棣
宋光宗 赵敦 明仁宗 朱高炽
宋光宗 赵敦 明宣宗 朱瞻基
宋光宗 赵敦 明英宗 朱祁镇
宋光宗 赵敦 明代宗 朱祁钰
宋光宗 赵敦 明宪宗 朱见深
宋光宗 赵敦 明孝宗 朱佑樘
宋光宗 赵敦 明武宗 朱厚照
宋光宗 赵敦 明世宗 朱厚熜
宋光宗 赵敦 明穆宗 朱载垕
宋光宗 赵敦 明神宗 朱翊钧
宋光宗 赵敦 明光宗 朱常洛
宋光宗 赵敦 明熹宗 朱由校
宋光宗 赵敦 明毅宗 朱由检
宋光宗 赵敦 清太祖 努尔哈赤
宋光宗 赵敦 清太宗 皇太极
宋光宗 赵敦 清世祖 福临
宋光宗 赵敦 清圣祖 玄烨
宋光宗 赵敦 清世宗 胤禛
宋光宗 赵敦 清高宗 弘历
宋光宗 赵敦 清仁宗 颙琰
宋光宗 赵敦 清宣宗 旻宁
宋光宗 赵敦 清文宗 奕詝
宋光宗 赵敦 清穆宗 载淳
宋光宗 赵敦 清德宗 载湉
宋宁宗 赵扩 宋理宗 赵昀
宋宁宗 赵扩 宋度宗 赵祺
宋宁宗 赵扩 宋恭帝 赵显
宋宁宗 赵扩 宋端宗 赵昰
宋宁宗 赵扩 宋卫王 赵昺
宋宁宗 赵扩 明太祖 朱元璋
宋宁宗 赵扩 明惠宗 朱允炆
宋宁宗 赵扩 明成祖 朱棣
宋宁宗 赵扩 明仁宗 朱高炽
宋宁宗 赵扩 明宣宗 朱瞻基
宋宁宗 赵扩 明英宗 朱祁镇
宋宁宗 赵扩 明代宗 朱祁钰
宋宁宗 赵扩 明宪宗 朱见深
宋宁宗 赵扩 明孝宗 朱佑樘
宋宁宗 赵扩 明武宗 朱厚照
宋宁宗 赵扩 明世宗 朱厚熜
宋宁宗 赵扩 明穆宗 朱载垕
宋宁宗 赵扩 明神宗 朱翊钧
宋宁宗 赵扩 明光宗 朱常洛
宋宁宗 赵扩 明熹宗 朱由校
宋宁宗 赵扩 明毅宗 朱由检
宋宁宗 赵扩 清太祖 努尔哈赤
宋宁宗 赵扩 清太宗 皇太极
宋宁宗 赵扩 清世祖 福临
宋宁宗 赵扩 清圣祖 玄烨
宋宁宗 赵扩 清世宗 胤禛
宋宁宗 赵扩 清高宗 弘历
宋宁宗 赵扩 清仁宗 颙琰
宋宁宗 赵扩 清宣宗 旻宁
宋宁宗 赵扩 清文宗 奕詝
宋宁宗 赵扩 清穆宗 载淳
宋宁宗 赵扩 清德宗 载湉
宋理宗 赵昀 宋度宗 赵祺
宋理宗 赵昀 宋恭帝 赵显
宋理宗 赵昀 宋端宗 赵昰
宋理宗 赵昀 宋卫王 赵昺
宋理宗 赵昀 明太祖 朱元璋
宋理宗 赵昀 明惠宗 朱允炆
宋理宗 赵昀 明成祖 朱棣
宋理宗 赵昀 明仁宗 朱高炽
宋理宗 赵昀 明宣宗 朱瞻基
宋理宗 赵昀 明英宗 朱祁镇
宋理宗 赵昀 明代宗 朱祁钰
宋理宗 赵昀 明宪宗 朱见深
宋理宗 赵昀 明孝宗 朱佑樘
宋理宗 赵昀 明武宗 朱厚照
宋理宗 赵昀 明世宗 朱厚熜
宋理宗 赵昀 明穆宗 朱载垕
宋理宗 赵昀 明神宗 朱翊钧
宋理宗 赵昀 明光宗 朱常洛
宋理宗 赵昀 明熹宗 朱由校
宋理宗 赵昀 明毅宗 朱由检
宋理宗 赵昀 清太祖 努尔哈赤
宋理宗 赵昀 清太宗 皇太极
宋理宗 赵昀 清世祖 福临
宋理宗 赵昀 清圣祖 玄烨
宋理宗 赵昀 清世宗 胤禛
宋理宗 赵昀 清高宗 弘历
宋理宗 赵昀 清仁宗 颙琰
宋理宗 赵昀 清宣宗 旻宁
宋理宗 赵昀 清文宗 奕詝
宋理宗 赵昀 清穆宗 载淳
宋理宗 赵昀 清德宗 载湉
宋度宗 赵祺 宋恭帝 赵显
宋度宗 赵祺 宋端宗 赵昰
宋度宗 赵祺 宋卫王 赵昺
宋度宗 赵祺 明太祖 朱元璋
宋度宗 赵祺 明惠宗 朱允炆
宋度宗 赵祺 明成祖 朱棣
宋度宗 赵祺 明仁宗 朱高炽
宋度宗 赵祺 明宣宗 朱瞻基
宋度宗 赵祺 明英宗 朱祁镇
宋度宗 赵祺 明代宗 朱祁钰
宋度宗 赵祺 明宪宗 朱见深
宋度宗 赵祺 明孝宗 朱佑樘
宋度宗 赵祺 明武宗 朱厚照
宋度宗 赵祺 明世宗 朱厚熜
宋度宗 赵祺 明穆宗 朱载垕
宋度宗 赵祺 明神宗 朱翊钧
宋度宗 赵祺 明光宗 朱常洛
宋度宗 赵祺 明熹宗 朱由校
宋度宗 赵祺 明毅宗 朱由检
宋度宗 赵祺 清太祖 努尔哈赤
宋度宗 赵祺 清太宗 皇太极
宋度宗 赵祺 清世祖 福临
宋度宗 赵祺 清圣祖 玄烨
宋度宗 赵祺 清世宗 胤禛
宋度宗 赵祺 清高宗 弘历
宋度宗 赵祺 清仁宗 颙琰
宋度宗 赵祺 清宣宗 旻宁
宋度宗 赵祺 清文宗 奕詝
宋度宗 赵祺 清穆宗 载淳
宋度宗 赵祺 清德宗 载湉
宋恭帝 赵显 宋端宗 赵昰
宋恭帝 赵显 宋卫王 赵昺
宋恭帝 赵显 明太祖 朱元璋
宋恭帝 赵显 明惠宗 朱允炆
宋恭帝 赵显 明成祖 朱棣
宋恭帝 赵显 明仁宗 朱高炽
宋恭帝 赵显 明宣宗 朱瞻基
宋恭帝 赵显 明英宗 朱祁镇
宋恭帝 赵显 明代宗 朱祁钰
宋恭帝 赵显 明宪宗 朱见深
宋恭帝 赵显 明孝宗 朱佑樘
宋恭帝 赵显 明武宗 朱厚照
宋恭帝 赵显 明世宗 朱厚熜
宋恭帝 赵显 明穆宗 朱载垕
宋恭帝 赵显 明神宗 朱翊钧
宋恭帝 赵显 明光宗 朱常洛
宋恭帝 赵显 明熹宗 朱由校
宋恭帝 赵显 明毅宗 朱由检
宋恭帝 赵显 清太祖 努尔哈赤
宋恭帝 赵显 清太宗 皇太极
宋恭帝 赵显 清世祖 福临
宋恭帝 赵显 清圣祖 玄烨
宋恭帝 赵显 清世宗 胤禛
宋恭帝 赵显 清高宗 弘历
宋恭帝 赵显 清仁宗 颙琰
宋恭帝 赵显 清宣宗 旻宁
宋恭帝 赵显 清文宗 奕詝
宋恭帝 赵显 清穆宗 载淳
宋恭帝 赵显 清德宗 载湉
宋端宗 赵昰 宋卫王 赵昺
宋端宗 赵昰 明太祖 朱元璋
宋端宗 赵昰 明惠宗 朱允炆
宋端宗 赵昰 明成祖 朱棣
宋端宗 赵昰 明仁宗 朱高炽
宋端宗 赵昰 明宣宗 朱瞻基
宋端宗 赵昰 明英宗 朱祁镇
宋端宗 赵昰 明代宗 朱祁钰
宋端宗 赵昰 明宪宗 朱见深
宋端宗 赵昰 明孝宗 朱佑樘
宋端宗 赵昰 明武宗 朱厚照
宋端宗 赵昰 明世宗 朱厚熜
宋端宗 赵昰 明穆宗 朱载垕
宋端宗 赵昰 明神宗 朱翊钧
宋端宗 赵昰 明光宗 朱常洛
宋端宗 赵昰 明熹宗 朱由校
宋端宗 赵昰 明毅宗 朱由检
宋端宗 赵昰 清太祖 努尔哈赤
宋端宗 赵昰 清太宗 皇太极
宋端宗 赵昰 清世祖 福临
宋端宗 赵昰 清圣祖 玄烨
宋端宗 赵昰 清世宗 胤禛
宋端宗 赵昰 清高宗 弘历
宋端宗 赵昰 清仁宗 颙琰
宋端宗 赵昰 清宣宗 旻宁
宋端宗 赵昰 清文宗 奕詝
宋端宗 赵昰 清穆宗 载淳
宋端宗 赵昰 清德宗 载湉
宋卫王 赵昺 明太祖 朱元璋
宋卫王 赵昺 明惠宗 朱允炆
宋卫王 赵昺 明成祖 朱棣
宋卫王 赵昺 明仁宗 朱高炽
宋卫王 赵昺 明宣宗 朱瞻基
宋卫王 赵昺 明英宗 朱祁镇
宋卫王 赵昺 明代宗 朱祁钰
宋卫王 赵昺 明宪宗 朱见深
宋卫王 赵昺 明孝宗 朱佑樘
宋卫王 赵昺 明武宗 朱厚照
宋卫王 赵昺 明世宗 朱厚熜
宋卫王 赵昺 明穆宗 朱载垕
宋卫王 赵昺 明神宗 朱翊钧
宋卫王 赵昺 明光宗 朱常洛
宋卫王 赵昺 明熹宗 朱由校
宋卫王 赵昺 明毅宗 朱由检
宋卫王 赵昺 清太祖 努尔哈赤
宋卫王 赵昺 清太宗 皇太极
宋卫王 赵昺 清世祖 福临
宋卫王 赵昺 清圣祖 玄烨
宋卫王 赵昺 清世宗 胤禛
宋卫王 赵昺 清高宗 弘历
宋卫王 赵昺 清仁宗 颙琰
宋卫王 赵昺 清宣宗 旻宁
宋卫王 赵昺 清文宗 奕詝
宋卫王 赵昺 清穆宗 载淳
宋卫王 赵昺 清德宗 载湉
明太祖 朱元璋 明惠宗 朱允炆
明太祖 朱元璋 明成祖 朱棣
明太祖 朱元璋 明仁宗 朱高炽
明太祖 朱元璋 明宣宗 朱瞻基
明太祖 朱元璋 明英宗 朱祁镇
明太祖 朱元璋 明代宗 朱祁钰
明太祖 朱元璋 明宪宗 朱见深
明太祖 朱元璋 明孝宗 朱佑樘
明太祖 朱元璋 明武宗 朱厚照
明太祖 朱元璋 明世宗 朱厚熜
明太祖 朱元璋 明穆宗 朱载垕
明太祖 朱元璋 明神宗 朱翊钧
明太祖 朱元璋 明光宗 朱常洛
明太祖 朱元璋 明熹宗 朱由校
明太祖 朱元璋 明毅宗 朱由检
明太祖 朱元璋 清太祖 努尔哈赤
明太祖 朱元璋 清太宗 皇太极
明太祖 朱元璋 清世祖 福临
明太祖 朱元璋 清圣祖 玄烨
明太祖 朱元璋 清世宗 胤禛
明太祖 朱元璋 清高宗 弘历
明太祖 朱元璋 清仁宗 颙琰
明太祖 朱元璋 清宣宗 旻宁
明太祖 朱元璋 清文宗 奕詝
明太祖 朱元璋 清穆宗 载淳
明太祖 朱元璋 清德宗 载湉
明惠宗 朱允炆 明成祖 朱棣
明惠宗 朱允炆 明仁宗 朱高炽
明惠宗 朱允炆 明宣宗 朱瞻基
明惠宗 朱允炆 明英宗 朱祁镇
明惠宗 朱允炆 明代宗 朱祁钰
明惠宗 朱允炆 明宪宗 朱见深
明惠宗 朱允炆 明孝宗 朱佑樘
明惠宗 朱允炆 明武宗 朱厚照
明惠宗 朱允炆 明世宗 朱厚熜
明惠宗 朱允炆 明穆宗 朱载垕
明惠宗 朱允炆 明神宗 朱翊钧
明惠宗 朱允炆 明光宗 朱常洛
明惠宗 朱允炆 明熹宗 朱由校
明惠宗 朱允炆 明毅宗 朱由检
明惠宗 朱允炆 清太祖 努尔哈赤
明惠宗 朱允炆 清太宗 皇太极
明惠宗 朱允炆 清世祖 福临
明惠宗 朱允炆 清圣祖 玄烨
明惠宗 朱允炆 清世宗 胤禛
明惠宗 朱允炆 清高宗 弘历
明惠宗 朱允炆 清仁宗 颙琰
明惠宗 朱允炆 清宣宗 旻宁
明惠宗 朱允炆 清文宗 奕詝
明惠宗 朱允炆 清穆宗 载淳
明惠宗 朱允炆 清德宗 载湉
明成祖 朱棣 明仁宗 朱高炽
明成祖 朱棣 明宣宗 朱瞻基
明成祖 朱棣 明英宗 朱祁镇
明成祖 朱棣 明代宗 朱祁钰
明成祖 朱棣 明宪宗 朱见深
明成祖 朱棣 明孝宗 朱佑樘
明成祖 朱棣 明武宗 朱厚照
明成祖 朱棣 明世宗 朱厚熜
明成祖 朱棣 明穆宗 朱载垕
明成祖 朱棣 明神宗 朱翊钧
明成祖 朱棣 明光宗 朱常洛
明成祖 朱棣 明熹宗 朱由校
明成祖 朱棣 明毅宗 朱由检
明成祖 朱棣 清太祖 努尔哈赤
明成祖 朱棣 清太宗 皇太极
明成祖 朱棣 清世祖 福临
明成祖 朱棣 清圣祖 玄烨
明成祖 朱棣 清世宗 胤禛
明成祖 朱棣 清高宗 弘历
明成祖 朱棣 清仁宗 颙琰
明成祖 朱棣 清宣宗 旻宁
明成祖 朱棣 清文宗 奕詝
明成祖 朱棣 清穆宗 载淳
明成祖 朱棣 清德宗 载湉
明仁宗 朱高炽 明宣宗 朱瞻基
明仁宗 朱高炽 明英宗 朱祁镇
明仁宗 朱高炽 明代宗 朱祁钰
明仁宗 朱高炽 明宪宗 朱见深
明仁宗 朱高炽 明孝宗 朱佑樘
明仁宗 朱高炽 明武宗 朱厚照
明仁宗 朱高炽 明世宗 朱厚熜
明仁宗 朱高炽 明穆宗 朱载垕
明仁宗 朱高炽 明神宗 朱翊钧
明仁宗 朱高炽 明光宗 朱常洛
明仁宗 朱高炽 明熹宗 朱由校
明仁宗 朱高炽 明毅宗 朱由检
明仁宗 朱高炽 清太祖 努尔哈赤
明仁宗 朱高炽 清太宗 皇太极
明仁宗 朱高炽 清世祖 福临
明仁宗 朱高炽 清圣祖 玄烨
明仁宗 朱高炽 清世宗 胤禛
明仁宗 朱高炽 清高宗 弘历
明仁宗 朱高炽 清仁宗 颙琰
明仁宗 朱高炽 清宣宗 旻宁
明仁宗 朱高炽 清文宗 奕詝
明仁宗 朱高炽 清穆宗 载淳
明仁宗 朱高炽 清德宗 载湉
明宣宗 朱瞻基 明英宗 朱祁镇
明宣宗 朱瞻基 明代宗 朱祁钰
明宣宗 朱瞻基 明宪宗 朱见深
明宣宗 朱瞻基 明孝宗 朱佑樘
明宣宗 朱瞻基 明武宗 朱厚照
明宣宗 朱瞻基 明世宗 朱厚熜
明宣宗 朱瞻基 明穆宗 朱载垕
明宣宗 朱瞻基 明神宗 朱翊钧
明宣宗 朱瞻基 明光宗 朱常洛
明宣宗 朱瞻基 明熹宗 朱由校
明宣宗 朱瞻基 明毅宗 朱由检
明宣宗 朱瞻基 清太祖 努尔哈赤
明宣宗 朱瞻基 清太宗 皇太极
明宣宗 朱瞻基 清世祖 福临
明宣宗 朱瞻基 清圣祖 玄烨
明宣宗 朱瞻基 清世宗 胤禛
明宣宗 朱瞻基 清高宗 弘历
明宣宗 朱瞻基 清仁宗 颙琰
明宣宗 朱瞻基 清宣宗 旻宁
明宣宗 朱瞻基 清文宗 奕詝
明宣宗 朱瞻基 清穆宗 载淳
明宣宗 朱瞻基 清德宗 载湉
明英宗 朱祁镇 明代宗 朱祁钰
明英宗 朱祁镇 明宪宗 朱见深
明英宗 朱祁镇 明孝宗 朱佑樘
明英宗 朱祁镇 明武宗 朱厚照
明英宗 朱祁镇 明世宗 朱厚熜
明英宗 朱祁镇 明穆宗 朱载垕
明英宗 朱祁镇 明神宗 朱翊钧
明英宗 朱祁镇 明光宗 朱常洛
明英宗 朱祁镇 明熹宗 朱由校
明英宗 朱祁镇 明毅宗 朱由检
明英宗 朱祁镇 清太祖 努尔哈赤
明英宗 朱祁镇 清太宗 皇太极
明英宗 朱祁镇 清世祖 福临
明英宗 朱祁镇 清圣祖 玄烨
明英宗 朱祁镇 清世宗 胤禛
明英宗 朱祁镇 清高宗 弘历
明英宗 朱祁镇 清仁宗 颙琰
明英宗 朱祁镇 清宣宗 旻宁
明英宗 朱祁镇 清文宗 奕詝
明英宗 朱祁镇 清穆宗 载淳
明英宗 朱祁镇 清德宗 载湉
明代宗 朱祁钰 明宪宗 朱见深
明代宗 朱祁钰 明孝宗 朱佑樘
明代宗 朱祁钰 明武宗 朱厚照
明代宗 朱祁钰 明世宗 朱厚熜
明代宗 朱祁钰 明穆宗 朱载垕
明代宗 朱祁钰 明神宗 朱翊钧
明代宗 朱祁钰 明光宗 朱常洛
明代宗 朱祁钰 明熹宗 朱由校
明代宗 朱祁钰 明毅宗 朱由检
明代宗 朱祁钰 清太祖 努尔哈赤
明代宗 朱祁钰 清太宗 皇太极
明代宗 朱祁钰 清世祖 福临
明代宗 朱祁钰 清圣祖 玄烨
明代宗 朱祁钰 清世宗 胤禛
明代宗 朱祁钰 清高宗 弘历
明代宗 朱祁钰 清仁宗 颙琰
明代宗 朱祁钰 清宣宗 旻宁
明代宗 朱祁钰 清文宗 奕詝
明代宗 朱祁钰 清穆宗 载淳
明代宗 朱祁钰 清德宗 载湉
明宪宗 朱见深 明孝宗 朱佑樘
明宪宗 朱见深 明武宗 朱厚照
明宪宗 朱见深 明世宗 朱厚熜
明宪宗 朱见深 明穆宗 朱载垕
明宪宗 朱见深 明神宗 朱翊钧
明宪宗 朱见深 明光宗 朱常洛
明宪宗 朱见深 明熹宗 朱由校
明宪宗 朱见深 明毅宗 朱由检
明宪宗 朱见深 清太祖 努尔哈赤
明宪宗 朱见深 清太宗 皇太极
明宪宗 朱见深 清世祖 福临
明宪宗 朱见深 清圣祖 玄烨
明宪宗 朱见深 清世宗 胤禛
明宪宗 朱见深 清高宗 弘历
明宪宗 朱见深 清仁宗 颙琰
明宪宗 朱见深 清宣宗 旻宁
明宪宗 朱见深 清文宗 奕詝
明宪宗 朱见深 清穆宗 载淳
明宪宗 朱见深 清德宗 载湉
明孝宗 朱佑樘 明武宗 朱厚照
明孝宗 朱佑樘 明世宗 朱厚熜
明孝宗 朱佑樘 明穆宗 朱载垕
明孝宗 朱佑樘 明神宗 朱翊钧
明孝宗 朱佑樘 明光宗 朱常洛
明孝宗 朱佑樘 明熹宗 朱由校
明孝宗 朱佑樘 明毅宗 朱由检
明孝宗 朱佑樘 清太祖 努尔哈赤
明孝宗 朱佑樘 清太宗 皇太极
明孝宗 朱佑樘 清世祖 福临
明孝宗 朱佑樘 清圣祖 玄烨
明孝宗 朱佑樘 清世宗 胤禛
明孝宗 朱佑樘 清高宗 弘历
明孝宗 朱佑樘 清仁宗 颙琰
明孝宗 朱佑樘 清宣宗 旻宁
明孝宗 朱佑樘 清文宗 奕詝
明孝宗 朱佑樘 清穆宗 载淳
明孝宗 朱佑樘 清德宗 载湉
明武宗 朱厚照 明世宗 朱厚熜
明武宗 朱厚照 明穆宗 朱载垕
明武宗 朱厚照 明神宗 朱翊钧
明武宗 朱厚照 明光宗 朱常洛
明武宗 朱厚照 明熹宗 朱由校
明武宗 朱厚照 明毅宗 朱由检
明武宗 朱厚照 清太祖 努尔哈赤
明武宗 朱厚照 清太宗 皇太极
明武宗 朱厚照 清世祖 福临
明武宗 朱厚照 清圣祖 玄烨
明武宗 朱厚照 清世宗 胤禛
明武宗 朱厚照 清高宗 弘历
明武宗 朱厚照 清仁宗 颙琰
明武宗 朱厚照 清宣宗 旻宁
明武宗 朱厚照 清文宗 奕詝
明武宗 朱厚照 清穆宗 载淳
明武宗 朱厚照 清德宗 载湉
明世宗 朱厚熜 明穆宗 朱载垕
明世宗 朱厚熜 明神宗 朱翊钧
